,Countries,Year,Total waste in tonnes
105,Iceland,2014,815148.0
106,Liechtenstein,2014,569067.0
107,Norway,2014,10614914.0
108,United Kingdom,2014,262992726.0
109,Bosnia and Herzegovina,2014,5540772.0
110,Montenegro,2014,1092741.0
111,North Macedonia,2014,2186612.0
112,Serbia,2014,49128311.0
113,Kosovo*,2014,1039803.0
114,European Union - 27 countries (from 2020),2016,2258910000.0
115,European Union - 28 countries (2013-2020),2016,2530980000.0
116,Belgium,2016,63152384.0
117,Bulgaria,2016,120508475.0
118,Czechia,2016,25381426.0
119,Denmark,2016,20981931.0
120,Germany,2016,400071672.0
121,Estonia,2016,24277879.0
122,Ireland,2016,15251689.0
123,Greece,2016,72332353.0
124,Spain,2016,128958523.0
125,France,2016,322685297.0
126,Croatia,2016,5366953.0
127,Italy,2016,163827838.0
128,Cyprus,2016,2467042.0
129,Latvia,2016,1909631.0
130,Lithuania,2016,6674238.0
131,Luxembourg,2016,10020519.0
132,Hungary,2016,15938077.0
133,Malta,2016,1951928.0
134,Netherlands,2016,141024020.0
135,Austria,2016,61225037.0
136,Poland,2016,182005677.0
137,Portugal,2016,14739135.0
138,Romania,2016,177562905.0
139,Slovenia,2016,5494362.0
140,Slovakia,2016,10606966.0
141,Finland,2016,122869183.0
142,Sweden,2016,141625718.0
143,Iceland,2016,1067319.0
144,Liechtenstein,2016,502581.0
145,Norway,2016,11131594.0
146,United Kingdom,2016,272064636.0
147,Bosnia and Herzegovina,2016,6127022.0
148,Montenegro,2016,1132587.0
149,North Macedonia,2016,1424859.0
150,Serbia,2016,48965314.0
151,Kosovo*,2016,2855990.0
152,European Union - 27 countries (from 2020),2018,2338230000.0
153,European Union - 28 countries (2013-2020),2018,2620400000.0
154,Belgium,2018,68187479.0
155,Bulgaria,2018,129751823.0
156,Czechia,2018,37847614.0
157,Denmark,2018,21445206.0
158,Germany,2018,405523624.0
159,Estonia,2018,23185581.0
160,Ireland,2018,13986757.0
161,Greece,2018,45240333.0
162,Spain,2018,137822935.0
163,France,2018,343307326.0
164,Croatia,2018,5543310.0
165,Italy,2018,172502773.0
166,Cyprus,2018,2302144.0
167,Latvia,2018,1773726.0
168,Lithuania,2018,7080538.0
169,Luxembourg,2018,9014397.0
170,Hungary,2018,18369585.0
171,Malta,2018,2507070.0
172,Netherlands,2018,145245469.0
173,Austria,2018,65666128.0
174,Poland,2018,175473691.0
175,Portugal,2018,15894873.0
176,Romania,2018,203017193.0
177,Slovenia,2018,8220679.0
178,Slovakia,2018,12401870.0
179,Finland,2018,128251735.0
180,Sweden,2018,138667585.0
181,Iceland,2018,1293511.0
182,Liechtenstein,2018,437823.0
183,Norway,2018,14137718.0
184,United Kingdom,2018,282393639.0
185,Bosnia and Herzegovina,2018,6747605.0
186,Montenegro,2018,1222758.0
187,North Macedonia,2018,1140253.0
188,Serbia,2018,51102914.0
189,Kosovo*,2018,2961225.0
190,European Union - 27 countries (from 2020),2020,2153950000.0
191,European Union - 28 countries (2013-2020),2020,2620400000.0
192,Belgium,2020,68061590.0
193,Bulgaria,2020,116387350.0
194,Czechia,2020,38486186.0
195,Denmark,2020,20135564.0
196,Germany,2020,401156266.0
197,Estonia,2020,16170358.0
198,Ireland,2020,16192033.0
199,Greece,2020,28358897.0
200,Spain,2020,105624359.0
201,France,2020,310373987.0
202,Croatia,2020,6003760.0
203,Italy,2020,174887620.0
204,Cyprus,2020,2221809.0
205,Latvia,2020,2852792.0
206,Lithuania,2020,6695731.0
207,Luxembourg,2020,9215222.0
208,Hungary,2020,17150400.0
209,Malta,2020,3528663.0
210,Netherlands,2020,125138771.0
211,Austria,2020,68906034.0
212,Poland,2020,170233670.0
213,Portugal,2020,16601514.0
214,Romania,2020,141364457.0
215,Slovenia,2020,7518375.0
216,Slovakia,2020,12775926.0
217,Finland,2020,116082531.0
218,Sweden,2020,151823910.0
219,Iceland,2020,1060903.0
220,Liechtenstein,2020,542691.0
221,Norway,2020,14040663.0
222,United Kingdom,2020,260153290.0
223,Bosnia and Herzegovina,2020,6753458.0
224,Montenegro,2020,1246833.0
225,North Macedonia,2020,1484596.0
226,Serbia,2020,58637622.0
227,Kosovo*,2020,2592828.0
