Country,Year,Discarded vehicles
United Kingdom,2016,1158511.0
Bosnia and Herzegovina,2016,22.0
Montenegro,2016,122.0
North Macedonia,2016,264.0
Serbia,2016,1735.0
Türkiye,2016,352.0
European Union - 27 countries (from 2020),2018,6970000.0
European Union - 28 countries (2013-2020),2018,8230000.0
Belgium,2018,384523.0
Bulgaria,2018,274.0
Czechia,2018,3660.5
Denmark,2018,7742.0
Germany,2018,596745.0
Estonia,2018,12709.0
Ireland,2018,66852.0
Greece,2018,70477.0
Spain,2018,784194.0
France,2018,1985805.0
Croatia,2018,30918.0
Italy,2018,1423089.0
Cyprus,2018,9481.0
Latvia,2018,13683.0
Lithuania,2018,27532.0
Luxembourg,2018,4258.0
Hungary,2018,22307.0
Malta,2018,13945.0
Netherlands,2018,258644.0
Austria,2018,61149.0
Poland,2018,2977.0
Portugal,2018,84490.0
Romania,2018,45766.0
Slovenia,2018,11329.0
Slovakia,2018,38036.0
Finland,2018,71108.0
Sweden,2018,319247.0
Iceland,2018,41.0
Liechtenstein,2018,5.0
Norway,2018,230783.0
United Kingdom,2018,1259104.0
Bosnia and Herzegovina,2018,64.0
Montenegro,2018,97.0
North Macedonia,2018,205.0
Serbia,2018,3297.0
Türkiye,2018,154.0
European Union - 27 countries (from 2020),2020,6180000.0
European Union - 28 countries (2013-2020),2020,8242500.0
Belgium,2020,404201.0
Bulgaria,2020,274.0
Czechia,2020,3660.5
Denmark,2020,5849.0
Germany,2020,456791.0
Estonia,2020,19070.0
Ireland,2020,45578.0
Greece,2020,70477.0
Spain,2020,781229.0
France,2020,1755398.0
Croatia,2020,52842.0
Italy,2020,1466693.0
Cyprus,2020,9955.0
Latvia,2020,8793.0
Lithuania,2020,42992.0
Luxembourg,2020,2274.0
Hungary,2020,25922.0
Malta,2020,12760.0
Netherlands,2020,247753.0
Austria,2020,50940.0
Poland,2020,2977.0
Portugal,2020,84490.0
Romania,2020,83782.0
Slovenia,2020,13244.0
Slovakia,2020,54853.0
Finland,2020,71108.0
Sweden,2020,284960.0
Iceland,2020,41.0
Liechtenstein,2020,5.0
Norway,2020,211666.0
United Kingdom,2020,1163641.0
Bosnia and Herzegovina,2020,26.0
Montenegro,2020,93.0
North Macedonia,2020,322.0
Serbia,2020,2006.0
Türkiye,2020,352.0
